120.00,0.84,79.00,100.80,62.61,0.78
119.80,0.88,87.00,105.42,59.54,0.83
119.20,0.88,77.00,104.90,71.23,0.73
121.10,0.85,80.00,102.94,64.77,0.78
120.90,0.84,80.00,101.56,62.56,0.79
121.00,1.07,100.00,129.47,82.23,0.77
121.40,0.83,87.00,100.76,50.83,0.86
121.40,0.86,80.00,104.40,67.08,0.77
120.50,0.85,78.00,102.43,66.38,0.76
120.50,0.85,80.00,102.43,63.96,0.78
120.10,0.85,78.00,102.08,65.86,0.76
119.90,0.84,81.00,100.72,59.86,0.80
120.00,0.84,79.00,100.80,62.61,0.78
119.90,0.86,82.00,103.11,62.52,0.80
120.00,0.87,111.00,104.40,37.70,1.06
120.10,0.86,78.00,103.29,67.71,0.76
120.30,0.94,93.00,113.08,64.33,0.82
120.20,0.85,80.00,102.17,63.55,0.78
119.80,0.86,75.00,103.03,70.64,0.73
119.60,0.88,81.00,105.25,67.20,0.77
120.10,0.89,82.00,106.89,68.57,0.77
120.00,0.98,84.00,117.60,82.30,0.71
120.20,0.97,79.00,116.59,85.75,0.68
119.90,0.84,79.00,100.72,62.47,0.78
120.20,0.83,80.00,99.77,59.61,0.80
120.40,0.89,81.00,107.16,70.15,0.76
120.20,0.83,77.00,99.77,63.44,0.77
120.10,0.99,84.00,118.90,84.15,0.71
120.10,0.90,82.00,108.09,70.42,0.76
120.20,0.93,86.00,111.79,71.42,0.77
120.20,0.87,79.00,104.57,68.52,0.76
120.00,0.84,81.00,100.80,60.00,0.80
120.30,0.86,78.00,103.46,67.97,0.75
119.90,0.87,78.00,104.31,69.26,0.75
120.10,0.84,81.00,100.88,60.14,0.80
120.20,0.91,83.00,109.38,71.24,0.76
120.60,0.88,81.00,106.13,68.57,0.76
120.60,0.83,77.00,100.10,63.96,0.77
120.50,0.95,79.00,114.47,82.85,0.69
120.30,0.84,115.00,101.05,54.90,1.14
120.40,0.93,78.00,111.97,80.34,0.70
120.30,0.85,78.00,102.26,66.12,0.76
